,Transit_Time,NormalValue,Transit_Time_Score
"1001 5 AVENUE,10028,NYC",1857.0,73.1274246493584,4.387645478961504
"1001 ANDERSON AVENUE,10452,NYC",2888.0,57.743957027752906,3.464637421665174
"1001 EAST 108 STREET,11236,NYC",3412.0,49.92539540435691,2.9955237242614148
"1001 PARK AVENUE,10028,NYC",1523.0,78.11101163831692,4.686660698299015
"10010 FLATLANDS AVENUE,11236,NYC",2895.0,57.639510593852584,3.4583706356311548
"10016 FLATLANDS AVENUE,11236,NYC",2903.0,57.520143240823636,3.451208594449418
"1002 BEDFORD AVENUE,11205,NYC",1124.0,84.06445837063563,5.043867502238138
"1002 BERGEN STREET,11216,NYC",2076.0,69.85974336019099,4.191584601611459
"1003 39 STREET,11219,NYC",2967.0,56.56520441659206,3.3939122649955236
"1003 BOSTON ROAD,10456,NYC",3501.0,48.59743360190988,2.9158460161145925
"1003 EAST 228 STREET,10466,NYC",5094.0,24.828409430020898,1.4897045658012538
"1003 ELDER AVENUE,10472,NYC",3643.0,46.478663085646076,2.7887197851387646
"1003 STERLING PLACE,11213,NYC",2648.0,61.324977618621304,3.679498657117278
"1004 EAST 105 STREET,11236,NYC",3239.0,52.50671441360788,3.150402864816473
"1004 HEGEMAN AVENUE,11208,NYC",3417.0,49.85079080871382,2.991047448522829
"1005 40 STREET,11219,NYC",3011.0,55.908683974932856,3.3545210384959714
"1005 EAST 215 STREET,10469,NYC",4899.0,27.737988660101465,1.6642793196060879
"1005 ELDER AVENUE,10472,NYC",3640.0,46.52342584303193,2.7914055505819158
"1006 EAST 19 STREET,11230,NYC",3232.0,52.6111608475082,3.156669650850492
"1006 RHINELANDER AVENUE,10462,NYC",3692.0,45.747538048343785,2.7448522829006268
"1007 AVENUE P,11223,NYC",3498.0,48.64219635929573,2.9185317815577436
"1007 EAST 226 STREET,10466,NYC",4972.0,26.648761563712327,1.5989256938227396
"1008 DECATUR STREET,11207,NYC",2332.0,66.0399880632647,3.962399283795882
"1008 EAST 230 STREET,10466,NYC",4700.0,30.707251566696513,1.8424350940017906
"1008 EAST 5 STREET,11230,NYC",3133.0,54.08833184124142,3.245299910474485
"1008 HALSEY STREET,11207,NYC",2429.0,64.59265890778872,3.875559534467323
"1008 MANHATTAN AVENUE,11222,NYC",413.0,94.67323187108326,5.680393912264996
"1009 EAST 2 STREET,11230,NYC",2902.0,57.535064159952256,3.4521038495971355
"1009 EAST 228 STREET,10466,NYC",5124.0,24.380781856162344,1.4628469113697407
"100A BELAIR ROAD,10305,NYC",4377.0,35.52670844524023,2.131602506714414
"101 1 AVENUE,10003,NYC",1689.0,75.63413906296628,4.538048343777977
"101 ALLEN STREET,10002,NYC",1746.0,74.78364667263503,4.4870188003581015
"101 BURGUNDY LOOP,10304,NYC",5027.0,25.828111011638327,1.5496866606982995
"101 BUTLER STREET,11231,NYC",1707.0,75.36556251865115,4.521933751119069
"101 COVE COURT,10473,NYC",4913.0,27.529095792300808,1.6517457475380484
"101 DICTUM COURT,11229,NYC",4872.0,28.14085347657415,1.688451208594449
"101 DUTCHESS AVENUE,10304,NYC",4864.0,28.2602208296031,1.695613249776186
"101 FALMOUTH STREET,11235,NYC",4395.0,35.25813190092509,2.1154879140555054
"101 GREENE AVENUE,11238,NYC",1291.0,81.57266487615637,4.894359892569382
"101 LAFAYETTE AVENUE,11217,NYC",1340.0,80.84153983885408,4.850492390331245
"101 LEONARD STREET,10013,NYC",1654.0,76.15637123246792,4.569382273948075
"101 LIGHTHOUSE COURT,10473,NYC",4900.0,27.723067740972837,1.6633840644583702
"101 NORTH 5 STREET,11249,NYC",1394.0,80.03581020590869,4.802148612354521
"101 OSGOOD AVENUE,10304,NYC",4751.0,29.946284691136967,1.796777081468218
"101 PATCHEN AVENUE,11221,NYC",2474.0,63.9212175470009,3.835273052820054
"101 PELL PLACE,10464,NYC",4907.0,27.618621307072516,1.6571172784243509
"101 PIAVE AVENUE,10305,NYC",4320.0,36.377200835571465,2.1826320501342877
"101 PUTNAM AVENUE,11238,NYC",1520.0,78.15577439570278,4.689346463742167
"101 SHELLEY AVENUE,10314,NYC",4859.0,28.334825425246194,1.7000895255147717
"101 SHEPHERD AVENUE,11208,NYC",2799.0,59.07191883019994,3.5443151298119964
"101 SPRATT AVENUE,10306,NYC",4988.0,26.41002685765443,1.5846016114592658
"101 STANTON STREET,10002,NYC",2277.0,66.8606386153387,4.011638316920322
"101 TARGEE STREET,10304,NYC",4893.0,27.827514174873173,1.6696508504923904
"101 TYSENS LANE,10306,NYC",4974.0,26.618919725455086,1.597135183527305
"101 WARREN STREET,10007,NYC",1885.0,72.70963891375709,4.362578334825425
"101 WARREN STREET,11201,NYC",2036.0,70.45658012533572,4.227394807520143
"101 WEST 12 STREET,10011,NYC",1544.0,77.79767233661593,4.667860340196956
"101 WEST 23 STREET,10011,NYC",1391.0,80.08057296329454,4.804834377797673
"101 WEST 24 STREET,10011,NYC",1210.0,82.78125932557445,4.966875559534467
"101 WEST 79 STREET,10024,NYC",1866.0,72.99313637720084,4.37958818263205
"101 WEST 81 STREET,10024,NYC",1823.0,73.63473589973142,4.4180841539838855
"101 WEST 87 STREET,10024,NYC",1944.0,71.82930468516861,4.309758281110116
"101 WYCKOFF AVENUE,11237,NYC",1414.0,79.73739182333631,4.784243509400178
"101-05 159 AVENUE,11414,NYC",3401.0,50.08952551477171,3.0053715308863023
"101-05 81 STREET,11416,NYC",2946.0,56.878543718293045,3.4127126230975824
"101-11 126 STREET,11419,NYC",2492.0,63.65264100268577,3.819158460161146
"101-11 93 STREET,11416,NYC",3359.0,50.71620411817368,3.042972247090421
"101-12 35 AVENUE,11368,NYC",1732.0,74.9925395404357,4.499552372426142
"101-12 95 AVENUE,11416,NYC",3535.0,48.090122351536856,2.885407341092211
"101-13 WOODHAVEN BOULEVARD,11416,NYC",3395.0,50.17905102954342,3.0107430617726054
"101-14 SHORE FRONT PARKWAY,11694,NYC",5278.0,22.08296031035512,1.3249776186213071
"101-18 125 STREET,11419,NYC",2563.0,62.593255744553865,3.7555953446732318
"101-19 113 STREET,11419,NYC",3172.0,53.506415995225304,3.210384959713518
"101-19 129 STREET,11419,NYC",2534.0,63.0259623992838,3.781557743957028
"101-19 134 STREET,11419,NYC",2444.0,64.36884512085945,3.8621307072515667
"101-19 84 STREET,11416,NYC",3084.0,54.81945687854372,3.289167412712623
"101-20 217 PLACE,11429,NYC",3718.0,45.359594150999705,2.7215756490599823
"101-21 113 STREET,11419,NYC",3177.0,53.431811399582216,3.2059086839749327
"101-21 222 STREET,11429,NYC",3960.0,41.748731721874066,2.5049239033124437
"101-21 95 STREET,11416,NYC",3384.0,50.34318113995822,3.020590868397493
"101-22 120 STREET,11419,NYC",3384.0,50.34318113995822,3.020590868397493
