,Drive_Time,NormalValue,Drive_Time_Score
"100 QUINLAN AVENUE,10314,NYC",3758.0,23.79267277268943,1.4275603663613656
"100 READE STREET,10013,NYC",1886.0,62.76019983347211,3.7656119900083262
"100 REMSEN STREET,11201,NYC",1560.0,69.54621149042464,4.172772689425479
"100 RIVERSIDE BOULEVARD,10069,NYC",1652.0,67.63114071606995,4.057868442964197
"100 RIVERSIDE DRIVE,10024,NYC",1907.0,62.32306411323897,3.739383846794338
"100 RYERSON STREET,11205,NYC",1258.0,75.83263946711074,4.549958368026644
"100 SEGUINE PLACE,10312,NYC",4655.0,5.120732722731063,0.3072439633638638
"100 SLATER BOULEVARD,10305,NYC",3713.0,24.729392173189012,1.4837635303913408
"100 STARR STREET,11237,NYC",1717.0,66.27810158201498,3.9766860949208986
"100 SUMMIT STREET,11231,NYC",1619.0,68.3180682764363,4.099084096586179
"100 UNITED NATIONS PLAZA,10017,NYC",1009.0,81.01582014987511,4.860949208992507
"100 VINELAND AVENUE,10312,NYC",4459.0,9.200666111573682,0.5520399666944209
"100 WEST 119 STREET,10026,NYC",1970.0,61.01165695253955,3.6606994171523732
"100 WEST 141 STREET,10030,NYC",2238.0,55.432972522897586,3.325978351373855
"100 WEST 18 STREET,10011,NYC",1370.0,73.50124895920067,4.410074937552039
"100 WEST 39 STREET,10018,NYC",1086.0,79.41298917568693,4.7647793505412155
"100 WEST 58 STREET,10019,NYC",1041.0,80.34970857618652,4.820982514571191
"100 WEST 72 STREET,10023,NYC",1449.0,71.85678601165695,4.311407160699417
"100 WEST 81 STREET,10024,NYC",1558.0,69.58784346378019,4.175270607826811
"100 WEST 89 STREET,10024,NYC",2117.0,57.951706910907575,3.4771024146544542
"100 WEST 93 STREET,10025,NYC",2211.0,55.995004163197336,3.3597002497918402
"100 WEST 94 STREET,10025,NYC",1977.0,60.86594504579517,3.65195670274771
"100 WOODS OF ARDEN ROAD,10312,NYC",4643.0,5.370524562864276,0.3222314737718565
"100-04 88 AVENUE,11418,NYC",2103.0,58.24313072439634,3.4945878434637803
"100-08 ROCKAWAY BEACH BOULEVARD,11694,NYC",3103.0,37.42714404662782,2.245628642797669
"100-09 198 STREET,11423,NYC",2651.0,46.835970024979176,2.8101582014987505
"100-09 88 AVENUE,11418,NYC",2094.0,58.430474604496254,3.5058284762697753
"100-10 67 ROAD,11375,NYC",1499.0,70.81598667776854,4.248959200666112
"100-11 41 AVENUE,11368,NYC",1650.0,67.67277268942547,4.060366361365528
"100-11 67 ROAD,11375,NYC",1502.0,70.75353871773522,4.245212323064114
"100-15 210 STREET,11429,NYC",2925.0,41.13238967527061,2.4679433805162363
"100-16 88 AVENUE,11418,NYC",2089.0,58.5345545378851,3.512073272273106
"100-17 133 AVENUE,11417,NYC",2424.0,51.561199000832644,3.0936719400499584
"100-18 35 AVENUE,11368,NYC",1929.0,61.86511240632806,3.7119067443796836
"100-18 75 AVENUE,11375,NYC",1907.0,62.32306411323897,3.739383846794338
"100-18 92 AVENUE,11418,NYC",2179.0,56.66111573688593,3.399666944213156
"100-22 205 STREET,11423,NYC",2660.0,46.648626144879266,2.798917568692756
"100-22 222 STREET,11429,NYC",3021.0,39.134054954204835,2.34804329725229
"100-22 90 AVENUE,11418,NYC",2114.0,58.014154870940885,3.480849292256453
"100-23 39 AVENUE,11368,NYC",1860.0,63.30141548709409,3.798084929225645
"100-24 197 STREET,11423,NYC",2649.0,46.87760199833472,2.812656119900083
"100-25 41 AVENUE,11368,NYC",1636.0,67.96419650291423,4.077851790174854
"100-25 QUEENS BOULEVARD,11375,NYC",1507.0,70.64945878434638,4.238967527060782
"100-26 67 ROAD,11375,NYC",1490.0,71.00333055786845,4.260199833472107
"100-27 207 STREET,11429,NYC",2651.0,46.835970024979176,2.8101582014987505
"100-28 204 STREET,11423,NYC",2666.0,46.52373022481265,2.791423813488759
"100-28 91 AVENUE,11418,NYC",2083.0,58.659450457951706,3.5195670274771023
"100-29 205 STREET,11423,NYC",2658.0,46.69025811823481,2.8014154870940886
"100-32 197 STREET,11423,NYC",2653.0,46.794338051623654,2.807660283097419
"100-33 202 STREET,11423,NYC",2681.0,46.21149042464613,2.7726894254787675
"100-37 196 STREET,11423,NYC",2648.0,46.898417985012486,2.813905079100749
"100-40 222 STREET,11429,NYC",3016.0,39.23813488759367,2.35428809325562
"100-40 FRANCIS LEWIS BOULEVARD,11429,NYC",2692.0,45.98251457119067,2.75895087427144
"100-42 199 STREET,11423,NYC",2706.0,45.691090757701915,2.7414654454621146
